tarih,platform,metin,etkilesim
2026-06-16 09:57:36,Telegram,"Togg T10F, yeni yazılım güncellemesiyle birlikte bataryasındaki gücü diğer cihazlarla paylaşmasını sağlayan V2L (Vehicle-To-Load) özelliğine kavuştu.

V2L: Elektrikli aracın bataryasındaki elektriği dışarıya aktararak kahve makinesi, mini buzdolabı, aydınlatma, dizüstü bilgisayar, projeksiyon gibi cihazları çalıştırmayı sağlıyor.

Yeni teslim edilen T10F’lerde özellik hazır geliyor; mevcut kullanıcılar ise OTA güncellemesiyle kullanabilecek.",1016
2026-06-16 07:38:37,Telegram,"Microsoft’un Xbox tarafında stüdyo kapatma iddiaları büyüyor. 

📌 Bloomberg’e dayandırılan habere göre Compulsion Games dışında Double Fine ve Ninja Theory de kapanma riskiyle karşı karşıya.

📌 İddialara göre Microsoft, bu stüdyolara bağımsızlıklarını geri satın alma şansı tanıyabilir. Ancak bu gerçekleşse bile ciddi küçülmeler ve işten çıkarmalar yaşanabileceği belirtiliyor.

📌 Özellikle Ninja Theory’nin, kısa süre önce yeni Senua oyununu duyurmuş olmasına rağmen kapanma iddialarıyla gündeme gelmesi Xbox’ın stüdyo planlarında büyük belirsizlik yaşandığını gösteriyor.",1075
2026-06-16 07:03:02,Telegram,"Togg T10X ve T10F modellerinin teknik verileri güncellendi.

📌 Batarya kapasitesi 88,5 kWh’den 89,6 kWh’ye çıkarıldı.

🔋 T10X’te AC şarj kapasitesi önceki katalogda 22 kW iken yeni verilerde standart olarak 11 kW’a düşürüldü. Ayrıca 0-100 km/s hızlanma süresi 7,8 saniyeden 8,0 saniyeye yükseldi.",1047
2026-06-15 16:30:37,Telegram,"Türkiye'de 7-14 Haziran tarihleri arasında en çok izlenen film ve diziler belli oldu.

Filmler:
🥇Nasıl Seks Yapacağız? 
🥈 Yaz Evi 
🥉 Uykucu
4⃣ D.I.S.C.O. 
5⃣ Jurassic World: Yeniden Doğuş 
6⃣ Seks ve Şehir 
7⃣ Hizmetçi 
8⃣ Furiosa: Bir Çılgın Max Destanı 
9⃣ Yan Yana 
🔟 Harry Potter ve Ölüm Yadigârları 

Diziler:
🥇 From 
🥈 Off Campus 
🥉 Game of Thrones 
4⃣ Prens 
5⃣ Kimler Geldi Kimler Geçti 
6⃣ Teach You a Lesson 
7⃣ House of the Dragon 
8⃣ Her Yılın Ardından 
9⃣ Gibi 
🔟 The Walking Dead",1157
2026-06-15 16:14:01,Telegram,"Samsung, One UI 9 güncellemesiyle kullanıcıların yıllardır eksik kaldığı bir özelliği telefonlarına getirecek.

Durum çubuğundaki gerçek zamanlı ağ hızı göstergesi, Good Lock’un QuickStar modülü üzerinden kullanılabilecek. 

İlk etapta Android 17 tabanlı One UI 9 beta ile bazı ülkelerde Galaxy S26 serisinde test ediliyor; eski One UI sürümlerine gelip gelmeyeceği henüz bilinmiyor.",1105
2026-06-15 10:42:06,Telegram,"Ortalama bir Amerikalı artık net servet açısından Jeff Bezos’a, Jeff Bezos’un Elon Musk’a olduğundan daha yakın.

SpaceX’in halka arzının ardından Elon Musk’ın servetinin trilyoner seviyesine yükselmesi, servet dağılımında o kadar büyük bir fark yarattı ki, zenginlik ölçeğini tamamen yeniden tanımladı.

💸 Ortalama Amerikalı (193 bin dolar) ➡️ Bezos farkı: 230 milyar dolar

 💸 Bezos ➡️ Musk farkı: 770 milyar dolar",1152
2026-06-15 09:10:50,Telegram,"Instagram'a yapay zekâ destekli ses efektleri geldi!

Meta, bu eğlenceli güncellemeyi 2026 FIFA Dünya Kupası heyecanıyla da harmanladı. 

Pakete yeni eklenen filtreler arasında ""Korsan"", ""Ototon"" ve ""Büyükanne"" gibi seçeneklerin yanı sıra futbol çılgınları için özel bir ""Gol!"" efekti de yer alıyor.",1188
2026-06-15 06:36:37,Telegram,"650 TL değerindeki MMORPG türündeki ""Wild Terra 2: New Lands"", Steam'de ücretsiz oldu.

Kalıcı olarak hemen kütüphanenize ekleyebilirsiniz.",1213
2026-06-12 12:58:23,Telegram,"3.500 TL değerindeki 5 oyun bu hafta sonu Steam'de ücretsiz oynanabilir oldu.

- Hearts of Iron IV
- Mechabellum
- Neon Abyss 2
- Goblin Cleanup
- Rogue Point",1722
2026-06-12 11:01:32,Telegram,"Xiaomi, şimdi de taşınabilir kahve makinesi tanıttı!

📌 Termos görünümlü cihaz; kamp, seyahat ve ofis kullanımı için tasarlandı. Hem kahve kapsülü hem de taze öğütülmüş kahveyle çalışıyor. 92 derece sabit su sıcaklığı sağlayabiliyor, sıcak ve soğuk demleme destekliyor ve bir demleme yaklaşık 45 saniye sürüyor.

📌 7500 mAh bataryaya sahip cihaz, önceden ısıtılmış suyla 400 fincana kadar kahve yapabiliyor. Ancak suyu kendi ısıtırsa pil çok daha hızlı tükeniyor ve yaklaşık 3 fincan kahve hazırlayabiliyor. 

📌 IP55 dayanıklılık sunan ürün Çin’de 118 dolardan satışa çıkacak; global satış bilgisi henüz yok.",1732
